,DECISION 1,chi_d,federico_d,kari_d,katrina_d,sofija_d,thu_d,delaney_d,num_acc,num_rej,,
71,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,0,7,REJECTED,
72,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,0,7,REJECTED,
73,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,0,7,REJECTED,
74,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,0,7,REJECTED,
75,REJECTED,REJECTED,REJECTED,ACCEPTED,ACCEPTED,REJECTED,ACCEPTED,ACCEPTED,4,3,ACCEPTED,
76,ACCEPTED,REJECTED,ACCEPTED,REJECTED,ACCEPTED,REJECTED,REJECTED,ACCEPTED,3,4,REJECTED,wrong
77,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,0,7,REJECTED,
78,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,0,7,REJECTED,
79,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,ACCEPTED,1,6,REJECTED,
80,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,0,7,REJECTED,
81,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,0,7,REJECTED,
82,ACCEPTED,REJECTED,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,REJECTED,ACCEPTED,5,2,ACCEPTED,
83,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,0,7,REJECTED,
84,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,0,7,REJECTED,
85,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,ACCEPTED,REJECTED,1,6,REJECTED,
86,REJECTED,REJECTED,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,6,1,ACCEPTED,
87,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,0,7,REJECTED,
88,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,0,7,REJECTED,
89,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,0,7,REJECTED,
90,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,0,7,REJECTED,
91,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,7,0,ACCEPTED,
92,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,0,7,REJECTED,
93,REJECTED,REJECTED,ACCEPTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,1,6,REJECTED,
94,ACCEPTED,ACCEPTED,ACCEPTED,REJECTED,ACCEPTED,ACCEPTED,ACCEPTED,ACCEPTED,6,1,ACCEPTED,
95,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,ACCEPTED,ACCEPTED,2,5,REJECTED,
96,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,ACCEPTED,REJECTED,1,6,REJECTED,
97,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,0,7,REJECTED,
98,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,0,7,REJECTED,
99,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,REJECTED,ACCEPTED,ACCEPTED,2,5,REJECTED,
